name,text,class,rarity,type,cost,health,attack,durability,image
Healing Touch,Restore 8 Health.,Druid,Free,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/healing-touch-200x286.png
Heavy Metal!,Summon a random minion with Cost equal to your Armor (up to 10).,Warrior,Rare,Spell,6,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/heavy-metal-card-art-200x286.png
Hecklebot,"Taunt 

 Battlecry:  Your opponent summons a minion from their deck.",Neutral,Rare,Minion,4,3,8,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Hecklebot-200x276.png
Heistbaron Togwaggle,"Battlecry:  If you control a  Lackey , choose a fantastic treasure.",Rogue,Legendary,Minion,6,5,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Heistbaron-Togwaggle-200x287.png
Hellfire,Deal 3 damage to ALL characters.,Warlock,Free,Spell,4,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/hellfire-200x286.png
Helpless Hatchling,Deathrattle:  Reduce the Cost of a Beast in your hand by (1).,Neutral,Common,Minion,1,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/helpless-hatchling-card-art-200x286.png
Hench-Clan Burglar,Battlecry: Discover  a spell from another class.,Rogue,Common,Minion,4,4,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Hench-Clan-Burglar-200x279.png
Hench-Clan Hag,Battlecry:  Summon two 1/1 Amalgams with all minion types.,Neutral,Epic,Minion,4,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Hench-Clan-Hag-1-200x276.png
Hench-Clan Hogsteed,"Rush 

 Deathrattle:  Summon a 1/1 Murloc.",Neutral,Common,Minion,2,2,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Hench-Clan-Hogsteed-1-200x276.png
Hench-Clan Shadequill,Deathrattle:  Restore 5 Health to the enemy hero.,Priest,Common,Minion,4,4,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Hench-Clan-Shadequill-200x280.png
Hench-Clan Sneak,Stealth,Neutral,Common,Minion,3,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Hench-Clan-Sneak-200x280.png
Hench-Clan Thug,"After your hero attacks, give this minion +1/+1.",Neutral,Common,Minion,3,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/hench-clan-thug-200x286.png
Heroic Innkeeper,Taunt.  Battlecry:  Gain +2/+2 for each other friendly minion.,Neutral,Common,Minion,8,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Heroic-Innkeeper-200x280.png
Heroic Strike,Give your hero +4 Attack this turn.,Warrior,Free,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/heroic-strike-200x286.png
Hex,Transform a minion into a 0/1 Frog with  Taunt.,Shaman,Free,Spell,4,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/hex2-200x286.png
Hex Lord Malacrass,Battlecry:  Add a copy of your opening hand to your hand  (except this card).,Mage,Legendary,Minion,8,5,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/hex-lord-malacrass-card-art-200x286.png
Hidden Wisdom,"Secret:  After your opponent plays three cards in a turn, draw 2 cards.",Paladin,Epic,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/hidden-wisdom-200x286.png
High Priest Thekal,Battlecry:  Convert all but 1 of your Hero's Health into Armor.,Paladin,Legendary,Minion,3,3,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/high-priest-thekal-card-art-200x286.png
Chillwind Yeti,,Neutral,Free,Minion,4,4,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/chillwind-yeti-200x286.png
Cinderstorm,Deal 5 damage randomly split among all enemies.,Mage,Rare,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/cinderstorm-200x286.png
Circle of Healing,Restore 4 Health to ALL minions.,Priest,Common,Spell,0,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/circle-of-healing-200x286.png
Claw,Give your hero +2 Attack this turn and 2 Armor.,Druid,Free,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/claw-200x286.png
Cleave,Deal 2 damage to two random enemy minions.,Warrior,Free,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/cleave-200x286.png
Cloakscale Chemist,"Stealth 

 Divine Shield",Neutral,Common,Minion,2,1,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/cloakscale-chemist-200x286.png
Clockwork Automaton,Double the damage and healing of your Hero Power.,Neutral,Common,Minion,5,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/03/clockwork-automaton-hd-200x286.png
Clockwork Goblin,"Battlecry:  Shuffle a Bomb into your opponent's deck. When drawn, it explodes for 5 damage.",Warrior,Rare,Minion,3,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Clockwork-Goblin-200x279.png
Cloning Device,Discover  a copy of a minion in your opponent's deck.,Priest,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/Cloning-Device-200x278.png
Coffin Crasher,Deathrattle:  Summon a  Deathrattle  minion from your hand.,Priest,Rare,Minion,6,6,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/03/coffin-crasher-hd-200x286.png
Cold Blood,Give a minion +2 Attack. Combo: +4 Attack instead.,Rogue,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/cold-blood-2-200x272.png
Coldlight Seer,Battlecry:  Give your other Murlocs +2 Health.,Neutral,Rare,Minion,3,2,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/coldlight-seer2-200x286.png
Commander Rhyssa,Your  Secrets  trigger twice.,Paladin,Legendary,Minion,3,4,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Commander-Rhyssa-200x276.png
Commanding Shout,Your minions can't be reduced below 1 Health this turn. Draw a card.,Warrior,Rare,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/commanding-shout-200x286.png
Cone of Cold,"Freeze a minion and the minions next to it, and deal 1 damage to them.",Mage,Common,Spell,4,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/cone-of-cold-200x286.png
Conjurer's Calling,Twinspell.  Destroy a minion. Summon 2 minions of the same Cost to replace it.,Mage,Rare,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Conjurers-Calling-200x276.png
Consecration,Deal 2 damage to all enemies.,Paladin,Free,Spell,4,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/consecration-200x286.png
Convincing Infiltrator,"Taunt 

 Deathrattle:  Destroy a random enemy minion.",Priest,Rare,Minion,5,2,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Convincing-Infiltrator-200x280.png
Coppertail Imposter,Battlecry:  Gain  Stealth  until your next turn.,Neutral,Common,Minion,4,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/coppertail-imposter-200x286.png
Core Hound,,Neutral,Free,Minion,7,9,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/core-hound-200x286.png
Corruption,"Choose an enemy minion. At the start of your turn, destroy it.",Warlock,Free,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/corruption-200x286.png
Cosmic Anomaly,Spell Damage +2,Mage,Common,Minion,4,4,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/Cosmic-Anomaly-200x284.png
Counterspell,"Secret: When your opponent casts a spell, Counter it.",Mage,Rare,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/counterspell-200x286.png
Countess Ashmore,"Battlecry:  Draw  Rush ,  Lifesteal  and  Deathrattle  card from your deck.",Neutral,Legendary,Minion,7,6,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/countess-ashmore-hd-200x286.png
Crazed Alchemist,Battlecry: Swap the Attack and Health of a minion.,Neutral,Rare,Minion,2,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/crazed-alchemist-200x286.png
Crazed Chemist,Combo:  Give a friendly minion +4 Attack.,Rogue,Common,Minion,5,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/crazed-chemist-200x286.png
Crowd Roaster,"Battlecry:  If you're holding a Dragon, deal 7 damage to an enemy minion.",Neutral,Epic,Minion,7,7,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/crowd-roaster-card-art-200x286.png
Cruel Taskmaster,Battlecry: Deal 1 damage to a minion and give it +2 Attack.,Warrior,Common,Minion,2,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/cruel-taskmaster-200x286.png
Crystal Power,Choose One  - Deal 2 damage to a minion; or Restore 5 Health.,Druid,Common,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Crystal-Power-200x276.png
Crystal Stag,"Rush. Battlecry:  If you've restored 5 Health this game, summon a copy of this.",Druid,Epic,Minion,5,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Crystal-Stag-200x276.png
Crystallizer,Battlecry:  Deal 5 damage to your hero. Gain 5 Armor.,Neutral,Epic,Minion,1,1,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/crystallizer-200x286.png
Crystalsmith Kangor,"Divine Shield, Lifesteal 

Your healing is doubled.",Paladin,Legendary,Minion,2,1,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/Crystalsmith-Kangor-200x282.png
Crystalsong Portal,"Discover  a Druid minion. If your hand has no minions, keep all 3.",Druid,Epic,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Crystalsong-Portal-1-200x276.png
Crystology,Draw two 1-Attack minions from your deck.,Paladin,Rare,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/crystology-200x286.png
Cult Master,"Whenever one of your other minions dies, draw a card.",Neutral,Common,Minion,4,4,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/cult-master-200x286.png
Curio Collector,"Whenever you draw a card, gain +1/+1.",Mage,Rare,Minion,5,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/curio-collector-200x286.png
Curse of Weakness,"Echo 

Give all enemy minions -2 Attack until your next turn.",Warlock,Rare,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/curse-of-weakness-200x286.png
Cursed Castaway,"Rush 

 Deathrattle:  Draw a  Combo  card from your deck.",Rogue,Rare,Minion,6,5,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/03/cursed-castaway-200x286.png
Cutthroat Buccaneer,Combo:  Give your weapon +1 Attack.,Rogue,Common,Minion,3,2,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/cutthroat-buccaneer-200x286.png
Cybertech Chip,"Give your minions "" Deathrattle:  Add a random Mech to your hand.""",Hunter,Rare,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/Cybertech-Chip-200x278.png
Da Undatakah,Battlecry:  Gain the  Deathrattle  effects of 3 friendly minions that died this game.,Neutral,Legendary,Minion,8,8,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/da-undatakah-card-art-200x286.png
Dalaran Crusader,Divine Shield,Neutral,Common,Minion,5,5,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Dalaran-Crusader-200x280.png
Dalaran Librarian,Battlecry: Silence  adjacent minions.,Neutral,Common,Minion,2,2,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Dalaran-Librarian-200x280.png
Dalaran Mage,Spell Damage +1,Neutral,Free,Minion,3,1,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/dalaran-mage-200x286.png
Damaged Stegotron,"Taunt 

 Battlecry:  Deal 6 damage to this minion.",Neutral,Common,Minion,6,5,12,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/damaged-stegotron-200x286.png
Daring Escape,Return all friendly minions to your hand.,Rogue,Common,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Daring-Escape-200x276.png
Daring Fire-Eater,Battlecry:  Your next Hero Power this turn deals 2 more damage.,Mage,Common,Minion,1,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/daring-fire-eater-card-art-200x286.png
